CONFIG0001	false

; //////////////////////////////////////////////////////////////////////
; ENGINE SYSTEM STRINGS
; //////////////////////////////////////////////////////////////////////
SYSENG0001	Spieleinstellungen
SYSENG0002	Anzeige
SYSENG0003	Sound
SYSENG0004	Hardwarebeschleunigung benutzen
SYSENG0005	Anzeigegerät:
SYSENG0006	Farben:
SYSENG0007	Fenster statt Vollbild
SYSENG0008	Multisample type:
SYSENG0009	Hardware T&&L
SYSENG0010	Mehr ...
SYSENG0011	Soundkarte:
SYSENG0012	Erweiterte Einstellungen
SYSENG0013	Hinweis: Diese Einstellungen dienen nur der Fehlerbehebung. Wenn das Spiel auf Ihrem Computer korrekt läuft, brauchen Sie diese Optionen nicht.
SYSENG0014	Textureinstellungen
SYSENG0015	16bit-Texturen erzwingen
SYSENG0016	Textur-Unterteilung erzwingen
SYSENG0017	16 bit
SYSENG0018	32 bit
SYSENG0019	[kein Sound]
SYSENG0020	kein
SYSENG0021	Samples
SYSENG0100	OK
SYSENG0101	Abbruch


; //////////////////////////////////////////////////////////////////////
; INTERFACE STRINGS
; //////////////////////////////////////////////////////////////////////

INTERF0004	Hauptmenü
INTERF0005	Spiel fortsetzen
INTERF0001	Spiel laden
INTERF0006	Spiel speichern
INTERF0007	Spiel Beenden

INTERF0002	Laden
INTERF0011	Sichern

INTERF0010	Sind Sie sicher, daß sie aufhören möchten?

INTERF0008	Ja
INTERF0009	Nein
INTERF0013	OK
INTERF0003	Abbruch

INTERF0012	Spielstand-Name
INTERF0014	Geben Sie einen Namen für Ihren Spielstand ein:

INTERF0015	< leer >


; //////////////////////////////////////////////////////////////////////
; 00 - COMMON TEXT
; //////////////////////////////////////////////////////////////////////

; Try to use an object with something that you can't
COMMON0001	Ich kann das nicht kombinieren.
COMMES0001	Ich kann das nicht kombinieren.

; Try to use an object that can't be used
COMMES0002	Ich kann das nicht nehmen.
COMMON0002	Ich kann das nicht nehmen.

; Try to look at an object with nothing to say about it
COMMON0003	Dazu fehlen mir irgendwie die Worte.
COMMES0003	Dazu fehlen mir irgendwie die Worte.

; //////////////////////////////////////////////////////////////////////
; 01 - BLACK CHAMBER
; //////////////////////////////////////////////////////////////////////

; Room Regions
BLACKC0015	Fenster
BLACKC0016	Drähte
BLACKC0017	Steuerung
BLACKC0018	Sarg
BLACKC0019	Tür

; Console Regions
BLACKC0020	JA
BLACKC0021	NEIN
BLACKC0022	Es hat begonnen ...
BLACKC0027	Weißt Du, wo Du bist?
BLACKC0028	Bereust Du?
BLACKC0029	Bist Du bereit?

; Initial comment on awakening in black chamber
BLACKC0001	Was passiert hier? ... Warum war ich in diesem Sarg?

; Look at coffin
BLACKC0002	Das ist der Sarg, in dem ich aufgewacht bin ... Warum war ich da drin?
; Interact with coffin
BLACKC0003	Er ist zu schwer, um ihn zu bewegen. Die Oberfläche ist warm ... und er vibriert leicht.
; Use anything with the coffin
BLACKC0023	Es ist nur ein großer, schwerer Sarg. Ich glaube nicht, daß ich irgendetwas damit kombinieren kann.

; Look at broken panel
BLACKC0004	Da ist eine Nachricht auf der Anzeige: "Verbindungsfehler".
; Interact with broken panel
BLACKC0005	Es funktioniert nicht.
