CONFIG0001	true

; //////////////////////////////////////////////////////////////////////
; ENGINE SYSTEM STRINGS
; //////////////////////////////////////////////////////////////////////
SYSENG0001	Ρυθμίσεις
SYSENG0002	Οθόνη
SYSENG0003	Ήχος
SYSENG0004	Χρήση επιταχυντή
SYSENG0005	Κάρτα Γραφικών:
SYSENG0006	Χρώματα:
SYSENG0007	Τρέχ'το σε παράθυρο
SYSENG0008	Τύπος πολλαπλού δείγματος:
SYSENG0009	Χρήση hardware T&&L
SYSENG0010	Άλλο...
SYSENG0011	Κάρτα Ήχου:
SYSENG0012	Επιπλέον Ρυθμίσεις
SYSENG0013	Σημείωση: Αυτές οι ρυθμίσεις παρέχονται μόνο για περιπτώσεις αποκατάστασης βλαβών. Αν το παιχνίδι παίζει σωστά, δεν χρειάζεται να κάνετε καμία από αυτές τις επιλογές.
SYSENG0014	Ρυθμίσεις υφής
SYSENG0015	Επέβαλλε υφή 16bit
SYSENG0016	Επέβαλλε υποδιαίρεση υφής
SYSENG0017	16 bit
SYSENG0018	32 bit
SYSENG0019	[χωρίς ήχο]
SYSENG0020	κανένα
SYSENG0021	δείγματα
SYSENG0100	OK
SYSENG0101	Άκυρο


; //////////////////////////////////////////////////////////////////////
; INTERFACE STRINGS
; //////////////////////////////////////////////////////////////////////

INTERF0004	Αρχικό Μενού
INTERF0005	Συνέχεια
INTERF0001	Φορτώμα
INTERF0006	Αποθήκευση
INTERF0007	Αναχώρηση

INTERF0002	Φόρτωσε το
INTERF0011	Σώσ' το

INTERF0010	Σίγουρα θες να σταματήσεις;

INTERF0008	Ναι
INTERF0009	Όχι
INTERF0013	OK
INTERF0003	Άκυρο

INTERF0012	Αποθήκευση Ονόματος Παχνιδιού
INTERF0014	Εισαγωγή ονόματος καινούργιου παιχνιδιού:

INTERF0015	< κενό >


; //////////////////////////////////////////////////////////////////////
; 00 - COMMON TEXT
; //////////////////////////////////////////////////////////////////////

; Try to use an object with something that you can't
COMMON0001	Δεν μπορώ να τα χρησιμοποιήσω μαζί.
COMMES0001	Δεν μπορώ να τα χρησιμοποιήσω μαζί.

; Try to use an object that can't be used
COMMON0002	Δεν μπορώ να το παρώ.
COMMES0002	Δεν μπορώ να το παρώ.

; Try to look at an object with nothing to say about it
COMMON0003	Δεν έχω τίποτα να πώ γι'αυτό.
COMMES0003	Δεν έχω τίποτα να πώ γι'αυτό.

; //////////////////////////////////////////////////////////////////////
; 01 - BLACK CHAMBER
; //////////////////////////////////////////////////////////////////////

; Room Regions
BLACKC0015	παράθυρα
BLACKC0016	καλώδια
BLACKC0017	πλάισιο
BLACKC0018	φέρετρο
BLACKC0019	πόρτα

; Console Regions
BLACKC0020	ΝΑΙ
BLACKC0021	ΟΧΙ
BLACKC0022	Άρχισε...
BLACKC0027	Ξέρεις που είσαι;
BLACKC0028	Μετανιώνεις;
BLACKC0029	Είσαι έτοιμη;

; Initial comment on awakening in black chamber
BLACKC0001	Τί έγινε; Γιατί βρισκόμουν σ'αυτό το φέρετρο;

; Look at coffin
BLACKC0002	Αυτό είναι το φέρετρο μέσα στο οποίο ξύπνησα...γιατί βρισκόμουν εκεί;
