CONFIG0001	true

; //////////////////////////////////////////////////////////////////////
; ENGINE SYSTEM STRINGS
; //////////////////////////////////////////////////////////////////////
SYSENG0001	Configurações do jogo
SYSENG0002	Vídeo
SYSENG0003	Som
SYSENG0004	Utilizar aceleração por hardware
SYSENG0005	Dispositivo de exibição:
SYSENG0006	Cores:
SYSENG0007	Executar em janela
SYSENG0008	Tipo de Multisample:
SYSENG0009	Usar T&&L por hardware
SYSENG0010	Mais...
SYSENG0011	Dispositivo de som:
SYSENG0012	Configurações avançadas
SYSENG0013	Nota: Essas configurações são fornecidas apenas para solução de problemas. Se o jogo é exibido corretamente em seu computador, você não precisa utilizar nenhuma destas opções.
SYSENG0014	Opções de textura
SYSENG0015	Forçar texturas de 16bit
SYSENG0016	Forçar subdivisão de textura
SYSENG0017	16 bit
SYSENG0018	32 bit
SYSENG0019	[sem som]
SYSENG0020	nenhum
SYSENG0021	amostras
SYSENG0100	OK
SYSENG0101	Cancelar


; //////////////////////////////////////////////////////////////////////
; INTERFACE STRINGS
; //////////////////////////////////////////////////////////////////////

INTERF0004	Menu Principal
INTERF0005	Continuar Jogo
INTERF0001	Carregar Jogo
INTERF0006	Salvar Jogo
INTERF0007	Sair do Jogo

INTERF0002	Carregar
INTERF0011	Salvar

INTERF0010	Tem certeza que deseja sair?

INTERF0008	Sim
INTERF0009	Não
INTERF0013	OK
INTERF0003	Cancelar

INTERF0012	Nome do Jogo Salvo
INTERF0014	Digite um nome para salvar seu jogo:

INTERF0015	< vazio >

; //////////////////////////////////////////////////////////////////////
; ITEM NAMES
; //////////////////////////////////////////////////////////////////////

ITEMIS0001	Machado
ITEMIS0002	Explosivo
ITEMIS0003	Extintor
ITEMIS0004	Cartão de Identificação
ITEMIS0005	Chave de Controle
ITEMIS0006	Baterias
ITEMIS0007	Cobertor
ITEMIS0008	Envelope
ITEMIS0009	Video Disco #1
ITEMIS0010	Video Disco #2
ITEMIS0011	Video Disco #3
ITEMIS0012	Dr Salt
ITEMIS0013	Olhos
ITEMIS0014	Cabeça
ITEMIS0015	Cortador Laser
ITEMIS0016	Braço Direito
ITEMIS0017	Perna
ITEMIS0018	Espelho
ITEMIS0019	Nota
ITEMIS0020	Braço Esquerdo
ITEMIS0021	Placa de Amostra
ITEMIS0022	Escalpo
ITEMIS0023	Caixa de Aço
ITEMIS0024	Torso

; //////////////////////////////////////////////////////////////////////
; 00 - COMMON TEXT
; //////////////////////////////////////////////////////////////////////

; Try to use an object with something that you can't
COMMON0001	Não posso usar essas coisas juntas.
COMMES0001	Não posso usar essas coisas juntas.

; Try to use an object that can't be used
COMMON0002	Não posso fazer isso.
COMMES0002	Não posso fazer isso.

; Try to look at an object with nothing to say about it
COMMON0003	Nem imagino o que dizer sobre isso.
COMMES0003	Nem imagino o que dizer sobre isso.

; //////////////////////////////////////////////////////////////////////
; 01 - BLACK CHAMBER
; //////////////////////////////////////////////////////////////////////

; Room Regions
BLACKC0015	Janelas
BLACKC0016	Fios
BLACKC0017	Painel
BLACKC0018	Caixão
BLACKC0019	Porta

; Console Regions
BLACKC0020	SIM
BLACKC0021	NÃO
BLACKC0022	Começou...
