CONFIG0001	true

; //////////////////////////////////////////////////////////////////////
; ENGINE SYSTEM STRINGS
; //////////////////////////////////////////////////////////////////////
SYSENG0001	Configurazioni di gioco
SYSENG0002	Video
SYSENG0003	Audio
SYSENG0004	Usa accelerazione hardware
SYSENG0005	Interfaccia video:
SYSENG0006	Colori:
SYSENG0007	Esegui in finestra
SYSENG0008	Multisample: 
SYSENG0009	Usa hardware T&&L
SYSENG0010	Avanzate
SYSENG0011	Interfaccia audio:
SYSENG0012	Configurazione avanzata
SYSENG0013	Nota: Questi settaggi sono disponibili unicamente per risolvere problemi specifici. Se il gioco è visualizzato in maniera corretta sul tuo computer, non hai bisogno di attivare alcuna di queste opzioni.
SYSENG0014	Configurazione textures
SYSENG0015	Forza texture a 16bit
SYSENG0016	Forza suddivisione texture
SYSENG0017	16 bit
SYSENG0018	32 bit
SYSENG0019	[senza audio]
SYSENG0020	niente
SYSENG0021	campioni
SYSENG0100	OK
SYSENG0101	Annulla


; //////////////////////////////////////////////////////////////////////
; INTERFACE STRINGS
; //////////////////////////////////////////////////////////////////////

INTERF0004	Menu principale
INTERF0005	Riprendi il gioco
INTERF0001	Carica salvataggio
INTERF0006	Salva partita
INTERF0007	Esci dal gioco
INTERF0002	Carica
INTERF0011	Salva
INTERF0010	Sicuro di voler abbandonare il gioco?
INTERF0008	Sì
INTERF0009	No
INTERF0013	OK
INTERF0003	Annulla
INTERF0012	Nome del salvataggio
INTERF0014	Inserisci un nome per il salvataggio:
INTERF0015	< vuoto >

; //////////////////////////////////////////////////////////////////////
; 00 - COMMON TEXT
; //////////////////////////////////////////////////////////////////////

; Try to use an object with something that you can't
COMMON0001	Non posso usare queste cose insieme.
COMMES0001	Non posso usare queste cose insieme.

; Try to use an object that can't be used
COMMON0002	Non posso prenderlo.
COMMES0002	Non posso prenderlo.

; Try to look at an object with nothing to say about it
COMMON0003	Non mi viene in mente nulla a riguardo. 
COMMES0003	Non mi viene in mente nulla a riguardo. 

; //////////////////////////////////////////////////////////////////////
; 01 - BLACK CHAMBER
; //////////////////////////////////////////////////////////////////////

; Room Regions
BLACKC0015	Vetrate
BLACKC0016	Cavi
BLACKC0017	Pannello
BLACKC0018	Bara
BLACKC0019	Porta

; Console Regions
BLACKC0020	SÍ
BLACKC0021	NO

BLACKC0022	È iniziato…
BLACKC0027	Sai dove ti trovi?
BLACKC0028	Sei pentita?
BLACKC0029	Sei pronta?

; Initial comment on awakening in black chamber
BLACKC0001	Che succede? Perché ero in quella bara?

; Look at coffin
BLACKC0002	Questa è la bara in cui mi sono svegliata… perché mi trovavo lì dentro?
; Interact with coffin
BLACKC0003	È troppo pesante per muoverla. La superficie è calda… e vibra leggermente.

; Use anything with the coffin
BLACKC0023	È solo una grossa, pesante bara. Non credo di poterci fare nulla.

; Look at broken panel
BLACKC0004	C’è un messaggio sullo schermo, “Errore di connessione”.
; Interact with broken panel
BLACKC0005	Non riesco a farlo funzionare.
; Look at fixed panel
BLACKC0006	Il pannello ora sembra funzionare.
; Use items on the panel (bear in mind by the time you have any item to use you're already finished with the panel)
BLACKC0024	Il pannello ora non serve più.

; Look at split wires
