CONFIG0001	TRUE
	
;//////////////////////////////////////////////////////////////////////	
;ENGINE SYSTEM STRINGS"	
;//////////////////////////////////////////////////////////////////////	
SYSENG0001	Ustawienia
SYSENG0002	Grafika
SYSENG0003	Dźwięk
SYSENG0004	Użyj wspomagania sprzętowego
SYSENG0005	Karta graficzna:
SYSENG0006	Kolory:
SYSENG0007	Uruchom w oknie
SYSENG0008	Multipróbkowanie typu
SYSENG0009	Użyj sprzętowego T&L
SYSENG0010	Więcej…
SYSENG0011	Urządzenie dźwiękowe:
SYSENG0012	Ustawienia zaawansowane
SYSENG0013	Nota: Te ustawienia służą jedynie do rozwiązywania problemów. Jeżeli gra wyświetla się poprawnie na twoim komputerze, nie musisz zaznaczać żadnej z tych opcji.
SYSENG0014	Ustawienia tekstur
SYSENG0015	Wymuś tekstury 16bitowe
SYSENG0016	Wymuś dalszy podział tekstur
SYSENG0017	16 bit
SYSENG0018	32 bit
SYSENG0019	[bez dźwięku]
SYSENG0020	żadny
SYSENG0021	próba
SYSENG0100	OK
SYSENG0101	Anuluj
	
	
;//////////////////////////////////////////////////////////////////////	
;INTERFACE STRINGS"	
;//////////////////////////////////////////////////////////////////////	
	
INTERF0004	Menu Główne
INTERF0005	Wznów Grę
INTERF0001	Wczytaj Grę
INTERF0006	Zapisz Grę
INTERF0007	Wyjdź z Gry
	
INTERF0002	Wczytaj
INTERF0011	Zapisz
	
INTERF0010	Czy na pewno chcesz wyjść z gry?
	
INTERF0008	Tak
INTERF0009	Nie
INTERF0013	OK
INTERF0003	Anuluj
	
INTERF0012	Nazwa Zapisu
INTERF0014	Wpisz nazwę dla zapisu:
	
INTERF0015	< pusty >
	
	
;//////////////////////////////////////////////////////////////////////	
;00 - COMMON TEXT"	
;//////////////////////////////////////////////////////////////////////	
	
;Try to use an object with something that you can't"	
COMMON0001	Nie mogę użyć tych rzeczy razem.
	
;Try to use an object that can't be used"	
COMMON0002	Nie mogę tego użyć.
	
;Try to look at an object with nothing to say about it"	
COMMON0003	Nie umiem nic powiedzieć o tym przedmiocie.
	
;//////////////////////////////////////////////////////////////////////	
;01 - BLACK CHAMBER"	
;//////////////////////////////////////////////////////////////////////	
	
;Room Regions"	
BLACKC0015	Okna
BLACKC0016	Kable
BLACKC0017	Pulpit
BLACKC0018	Trumna
BLACKC0019	Drzwi
	
;Console Regions"	
BLACKC0020	TAK
BLACKC0021	NIE
BLACKC0022	Zaczęło się…
BLACKC0027	Czy wiesz gdzie jesteś?
BLACKC0028	Czy żałujesz?
BLACKC0029	Czy jesteś gotowa?
	
;Initial comment on awakening in black chamber"	
BLACKC0001	Co się dzieje? Czemu byłam w tej trumnie?
	
;Look at coffin"	
BLACKC0002	To trumna, w której się obudziłam... Czemu w niej byłam?
;Interact with coffin"	
BLACKC0003	Zbyt ciężka by ruszyć. Powierzchnia jest ciepła… lekko wibruje.
;Use anything with the coffin"	
BLACKC0023	To tylko duża i ciężka trumna. Nie sądzę żebym mogła ją do czegokolwiek wykorzystać.
	
;Look at broken panel"	
BLACKC0004	"Na ekranie wyświetla się wiadomość, "Błąd Połączenia".
;Interact with broken panel"	
BLACKC0005	Nie mogę go uruchomić.
