CONFIG0001	true

; //////////////////////////////////////////////////////////////////////
; ENGINE SYSTEM STRINGS
; //////////////////////////////////////////////////////////////////////
SYSENG0001	Game settings
SYSENG0002	Display
SYSENG0003	Sound
SYSENG0004	Use hardware acceleration
SYSENG0005	Display device:
SYSENG0006	Colors:
SYSENG0007	Run in window
SYSENG0008	Multisample type:
SYSENG0009	Use hardware T&&L
SYSENG0010	More...
SYSENG0011	Sound device:
SYSENG0012	Advanced settings
SYSENG0013	Note: These settings are provided for troubleshooting purposes only. If the game displays correctly on your computer, you don't need to select any of these options.
SYSENG0014	Texture settings
SYSENG0015	Force 16bit textures
SYSENG0016	Force texture subdivision
SYSENG0017	16 bit
SYSENG0018	32 bit
SYSENG0019	[no sound]
SYSENG0020	none
SYSENG0021	samples
SYSENG0100	OK
SYSENG0101	Cancel


; //////////////////////////////////////////////////////////////////////
; INTERFACE STRINGS
; //////////////////////////////////////////////////////////////////////

INTERF0004	Main Menu
INTERF0005	Resume Game
INTERF0001	Load Game
INTERF0006	Save Game
INTERF0007	Quit Game

INTERF0002	Load
INTERF0011	Save

INTERF0010	Are you sure you want to leave?

INTERF0008	Yes
INTERF0009	No
INTERF0013	OK
INTERF0003	Cancel

INTERF0012	Save Game Name
INTERF0014	Enter a name for your save game :

INTERF0015	< empty >


; //////////////////////////////////////////////////////////////////////
; 00 - COMMON TEXT
; //////////////////////////////////////////////////////////////////////

; Try to use an object with something that you can't
COMMON0001	I can't use these things together.
COMMES0001	I can't use these things together.

; Try to use an object that can't be used
COMMON0002	I can't take it.
COMMES0002	I can't take it.

; Try to look at an object with nothing to say about it
COMMON0003	I can't think of anything to say about it.
COMMES0003	I can't think of anything to say about it.

; //////////////////////////////////////////////////////////////////////
; 01 - BLACK CHAMBER
; //////////////////////////////////////////////////////////////////////

; Room Regions
BLACKC0015	Windows
BLACKC0016	Wires
BLACKC0017	Panel
BLACKC0018	Coffin
BLACKC0019	Door

; Console Regions
BLACKC0020	YES
BLACKC0021	NO
BLACKC0022	It has begun...
BLACKC0027	Do you know where you are?
BLACKC0028	Do you regret?
BLACKC0029	Are you ready?

; Initial comment on awakening in black chamber
BLACKC0001	What's going on? Why was I in that coffin?

; Look at coffin
BLACKC0002	That's the coffin I woke up in... why was I in there?
; Interact with coffin
BLACKC0003	It's too heavy to move. The surface is warm... there's a slight vibration.
; Use anything with the coffin
BLACKC0023	It's just a big heavy coffin. I don't think I can use anything on it.

; Look at broken panel
BLACKC0004	There's a message on the panel, "Connection Error".
; Interact with broken panel
BLACKC0005	I can't get it to work.
; Look at fixed panel
BLACKC0006	The panel seems to be working now.
; Use items on the panel (bear in mind by the time you have any item to use you're already finished with the panel)
BLACKC0024	The panel already seems to have served it's purpose.

; Look at split wires
BLACKC0007	The wires look like they're not connected properly.
; Interact with split wires
BLACKC0008	There... I've connected the wires together.
; Look at joined wires
BLACKC0009	They're connected together now.
; Interact with joined wires
BLACKC0010	I've already fixed them.
; Use items on the wires
BLACKC0025	I don't think I need to do anything more with these wires.

; Windows open to reveal space outside
BLACKC0011	What the hell is going on? I'm in space!

; Door opens to reveal a way out
